stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
1364,GEIRATO 7/CARPI,,44.464252,8.984669,,,Via Geirato,Genoa,Regione Liguria,16100
1365,GEIRATO/PONTE CANALE,,44.468182,8.989231,,,Sconosciuto,Genoa,Regione Liguria,16100
1366,GEIRATO 2/CARPI,,44.463898,8.984139,,,Via Geirato,Genoa,Regione Liguria,16100
1367,GEIRATO 3/,,44.463272,8.982781,,,Via Geirato,Genoa,Regione Liguria,16100
1368,GEIRATO 4/PASSERELLA,,44.462189,8.981148,,,Via Geirato,Genoa,Regione Liguria,16100
1369,GEIRATO 5/SCUOLE,,44.459789,8.979281,,,Via Geirato,Genoa,Regione Liguria,16100
1370,GEIRATO 6/PONTE SIFONE,,44.458309,8.977931,,,Via Geirato,Genoa,Regione Liguria,16100
1371,GEIRATO 7/BERNARDINI,,44.456379,8.978478,,,Via Geirato,Genoa,Regione Liguria,16100
1372,BERNARDINI/DI PINO,,44.454575,8.977617,,,Via Elia Bernardini,Genoa,Regione Liguria,16100
1373,SAN FELICE 1/MOLASSANA,,44.454597,8.981258,,,Via San Felice,Genoa,Regione Liguria,16100
1374,SAN FELICE 2/ARIZONA,,44.455902,8.980620,,,Via San Felice,Genoa,Regione Liguria,16100
1375,SAN FELICE 3/ACACIE,,44.457176,8.980824,,,Via San Felice,Genoa,Regione Liguria,16100
1376,SAN FELICE 4/COTELLA INFERIORE,,44.456303,8.981934,,,Via San Felice,Genoa,Regione Liguria,16100
1377,SAN FELICE 5/COTELLA SUPERIORE,,44.457256,8.982428,,,Via San Felice,Genoa,Regione Liguria,16100
1378,SAN FELICE 6/BRUGHE,,44.458866,8.982944,,,Via San Felice,Genoa,Regione Liguria,16100
1379,SAN FELICE 7/OLIVO,,44.458538,8.985144,,,Via San Felice,Genoa,Regione Liguria,16100
1380,SAN FELICE 8/FONTANELLA,,44.459877,8.985646,,,Via San Felice,Genoa,Regione Liguria,16100
1381,SAN FELICE 9/MANEGGIO,,44.461319,8.988111,,,Via San Felice,Genoa,Regione Liguria,16100
1382,SAN FELICE 10/PERDONO,,44.461254,8.990359,,,Via San Felice,Genoa,Regione Liguria,16100
1383,SAN FELICE 11/CADEIA,,44.464233,8.992921,,,Via San Felice,Genoa,Regione Liguria,16100
1384,DEL PIANO/TORTOSA,,44.414978,8.952884,,,Via del Piano,Genoa,Regione Liguria,16100
1385,MARASSI/STADIO,,44.418030,8.949093,,,Piazzale Marassi,Genoa,Regione Liguria,16100
1386,MANDOLI/FASSICOMO,,44.420570,8.948179,,,Via Rino Mandoli,Genoa,Regione Liguria,16100
1387,BLIGNY/CENTRO COMMERCIALE,,44.439579,8.964433,,,Piazzale Bligny,Genoa,Regione Liguria,16100
1388,TERPI 1/MOGADISCIO,,44.438786,8.966198,,,Via Terpi,Genoa,Regione Liguria,16100
1389,MOGADISCIO 1/MONTESIGNANO,,44.436901,8.966035,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1390,MOGADISCIO 2/SALITA TERPI,,44.435932,8.966696,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1391,MOGADISCIO 3/PASSO BUGGI,,44.436020,8.970496,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1392,MOGADISCIO 4/MULINO,,44.437092,8.973486,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1393,MOGADISCIO 5/BAIARDO,,44.438023,8.975387,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1394,MOGADISCIO 6/GIACALONE,,44.439800,8.976768,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1395,MOGADISCIO 7/ROCCHE DI BAVARI,,44.440384,8.978251,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1396,MOGADISCIO 8/SCUOLE,,44.441116,8.980430,,,Via Mogadiscio,Genoa,Regione Liguria,16100
1397,MOGADISCIO 9/LOCALITA' MERMI,,44.440220,8.981337,,,Via Mogadiscio,Genoa,Regione Liguria,16100
